,P_STATUS,P_YEAR,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_MASS,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_RADIUS_EST,S_RA_H,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
2166,3.0,2016.0,10.811874,-0.0001009,0.0001009,297.32891,47.815472,13.385,927.0,-159.49,412.54,1.31,1.5,-0.26,0.69,6436.0,-172.76,154.47,4.2,0.10468086,0.10468086,0.10468086,0.10468087,315.6463,315.6463,315.6463,1073.8536,1073.8536,1073.8536,1.5,19.821928,3.4588785,1.3412608,3.1164255,1.6988423,2.9546558,1.7954765,2.9546558,1.6397365,2.9546558,5.0214764,0.4460559,0.0,0.0,0.0,0.28465761,1.46851,2.7568324,0.10468086
2167,3.0,2016.0,4.3612835,-2.698e-05,2.698e-05,294.0827,39.556103,14.951,986.0,-112.28,231.76,1.0,1.0,-0.11,0.23,5772.0,-187.15,140.28,4.44,0.052229888,0.052229888,0.052229888,0.05222989,364.54886,364.54886,364.54886,1113.2273,1113.2273,1113.2273,1.0,19.605514,0.99447515,0.74865946,1.7641002,0.94827016,1.6725274,1.0027471,1.6725274,0.91537321,1.6725274,2.6925312,0.45564802,0.0,0.0,0.0,0.29033281,1.31157,2.2754822,0.052229888
2168,3.0,2016.0,3.2903045,-4.56e-06,4.56e-06,292.57986,37.376411,15.669,199.0,-20.75,18.63,0.5,0.47,-0.04,0.03,3636.0,-53.35,58.98,4.78,0.034355026,0.034355026,0.034355026,0.034355027,29.308886,29.308886,29.308886,592.78163,592.78163,592.78163,0.47,19.505325,0.034592334,0.15184456,0.39138639,0.19233364,0.37106368,0.20387574,0.37106368,0.18565817,0.37106368,0.5021734,0.36441767,0.0,0.0,0.0,0.173913,5.70589,27.616484,0.034355026
2169,3.0,2016.0,287.37895,-0.002983,0.002983,295.42935,39.886547,15.756,1213.0,-113.19,178.13,0.96,0.94,-0.08,0.13,5677.0,-162.14,107.4,4.48,0.84056242,0.84056242,0.84056242,0.84056244,1.1638044,1.1638044,1.1638044,264.61527,264.61527,264.61527,0.94,19.695291,0.82228038,0.6846368,1.6174607,0.86717976,1.5334997,0.91707791,1.5334997,0.83710751,1.5334997,2.4483513,0.45122743,1.0,1.0,0.0,0.49025762,6.06461,30.628454,0.84056242
2170,3.0,2016.0,4.1396297,-2.851e-05,2.851e-05,296.50045,40.72123,14.275,1718.0,-369.5,551.12,1.51,1.85,-0.39,0.6,6826.0,-316.8,286.4,4.08,0.057873027,0.057873027,0.057873027,0.057873028,1987.6726,1987.6726,1987.6726,1701.105,1701.105,1701.105,1.85,19.766697,6.6572864,1.8207336,4.2089032,2.306121,3.9904269,2.4366383,3.9904269,2.2257668,3.9904269,6.9664639,0.44150853,0.0,0.0,0.0,0.25443389,2.0178,4.7283306,0.057873027
2171,3.0,2016.0,7.2028365,-8.773e-05,8.773e-05,284.05668,41.576733,13.028,311.0,-25.37,33.55,0.87,0.84,-0.07,0.09,5445.0,-121.15,93.89,4.54,0.069665594,0.069665594,0.069665594,0.069665596,114.4991,114.4991,114.4991,833.38451,833.38451,833.38451,0.84,18.937113,0.5556979,0.57043666,1.3571834,0.72253511,1.2867329,0.76428168,1.2867329,0.69750014,1.2867329,2.012719,0.44167779,0.0,0.0,0.0,0.1955001,3.68809,13.164352,0.069665594
2172,3.0,2016.0,76.378033,-0.001833,0.001833,281.6337,43.411579,16.595,352.0,-27.3,41.23,0.55,0.52,-0.03,0.04,3724.0,-48.58,65.64,4.74,0.28858657,0.28858657,0.28858657,0.28858658,0.55947642,0.55947642,0.55947642,220.33848,220.33848,220.33848,0.52,18.775581,0.046594432,0.17599264,0.45163974,0.22292116,0.42818918,0.2362749,0.42818918,0.21518764,0.42818918,0.58281508,0.38491541,1.0,1.0,0.0,0.44586305,6.43454,33.867504,0.28858657
2173,3.0,2016.0,3.8759581,-2.379e-05,2.379e-05,280.20662,43.774297,12.75,390.0,-33.62,71.67,1.01,1.01,-0.08,0.19,5776.0,-74.65,68.39,4.44,0.048439843,0.048439843,0.048439843,0.048439844,433.5455,433.5455,433.5455,1162.5284,1162.5284,1162.5284,1.01,18.680442,1.0172791,0.75701245,1.7835927,0.95885016,1.691008,1.0139313,1.691008,0.92558562,1.691008,2.723227,0.45716181,0.0,0.0,0.0,0.29037739,0.77349,0.38707286,0.048439843
2174,3.0,2014.0,7.810937,-0.000107,0.000107,295.00282,46.987328,14.415,703.69,-10.19,10.19,0.9699999999999999,0.92,-0.38,0.38,5776.0,-200.0,200.0,4.52,0.078,0.078,0.078,0.078000002,138.7343,138.7343,138.7343,874.36118,874.36118,874.36118,0.92,19.666856,0.84405946,0.6895559,1.6246587,0.87340807,1.5403241,0.92358096,1.5403241,0.84310769,1.5403241,2.4805632,0.3678104611,0.0,0.0,0.0,0.30276841,1.05374,1.1724075,0.078
2175,3.0,2014.0,21.347262,-8.1e-05,8.1e-05,295.00282,46.987328,14.415,703.69,-10.19,10.19,0.9720999999999997,0.92,-0.38,0.38,5776.0,-200.0,200.0,4.52,0.152,0.152,0.152,0.152,36.533044,36.533044,36.533044,626.34898,626.34898,626.34898,0.92,19.666856,0.84405946,0.6895559,1.6246587,0.87340807,1.5403241,0.92358096,1.5403241,0.84310769,1.5403241,2.4805632,0.36778055719999997,0.0,0.0,0.0,0.27671096,2.26442,5.7508411,0.152
2176,3.0,2016.0,509.9974,-0.003256,0.003256,297.50829,43.710953,14.15,278.0,-12.17,24.77,0.66,0.63,-0.02,0.05,4736.0,-64.28,97.3,4.66,1.0874339,1.0874339,1.0874339,1.087434,0.15129019,0.15129019,0.15129019,158.89038,158.89038,158.89038,0.63,19.833887,0.17890255,0.33521606,0.81944286,0.42460238,0.77690438,0.44948652,0.77690438,0.40991022,0.77690438,1.1420156,0.40742321,0.0,0.0,0.0,0.41604712,2.18595,5.4165988,1.0874339
2177,3.0,2016.0,4.0951393,-3.048e-05,3.048e-05,294.63257,43.807671,15.524,1190.0,-107.49,166.29,0.97,0.95,-0.08,0.13,5679.0,-148.91,101.54,4.47,0.049576887,0.049576887,0.049576887,0.049576888,342.18804,342.18804,342.18804,1095.7491,1095.7491,1095.7491,0.95,19.642172,0.84105294,0.69232569,1.6355331,0.87691867,1.550634,0.92737547,1.550634,0.84650845,1.550634,2.4761414,0.44926725,0.0,0.0,0.0,0.28935077,1.3452,2.3754251,0.049576887
